max_depth,min_samples_split,min_samples_leaf,Accuracy,Train Score,Test Score,Difference
15,3,1,0.9797857142857143,0.9945892857142857,0.9797857142857143,0.014803571428571471
15,5,2,0.9796428571428571,0.9938571428571429,0.9796428571428571,0.014214285714285735
15,5,1,0.9796428571428571,0.9942857142857143,0.9796428571428571,0.01464285714285718
17,6,2,0.9793571428571428,0.9953392857142858,0.9793571428571428,0.015982142857142945
15,6,2,0.9793571428571428,0.9935892857142857,0.9793571428571428,0.014232142857142915
13,5,2,0.9793571428571428,0.9908035714285715,0.9793571428571428,0.011446428571428635
16,5,2,0.9793571428571428,0.9948928571428571,0.9793571428571428,0.01553571428571432
15,2,1,0.9792857142857143,0.9946964285714286,0.9792857142857143,0.015410714285714278
15,4,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
15,2,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
16,6,2,0.9792142857142857,0.9947678571428571,0.9792142857142857,0.015553571428571389
15,3,2,0.9792142857142857,0.9939464285714286,0.9792142857142857,0.01473214285714286
15,6,1,0.9791428571428571,0.994125,0.9791428571428571,0.014982142857142944
13,6,2,0.9790714285714286,0.9907321428571428,0.9790714285714286,0.011660714285714247
16,4,2,0.9789285714285715,0.9951428571428571,0.9789285714285715,0.016214285714285626
16,3,2,0.9789285714285715,0.9951428571428571,0.9789285714285715,0.016214285714285626
16,2,2,0.9789285714285715,0.9951428571428571,0.9789285714285715,0.016214285714285626
14,6,5,0.9788571428571429,0.9905,0.9788571428571429,0.011642857142857177
13,6,4,0.9788571428571429,0.9898214285714285,0.9788571428571429,0.010964285714285649
14,3,5,0.9788571428571429,0.9905,0.9788571428571429,0.011642857142857177
14,2,5,0.9788571428571429,0.9905,0.9788571428571429,0.011642857142857177
14,4,5,0.9788571428571429,0.9905,0.9788571428571429,0.011642857142857177
15,2,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
14,5,5,0.9788571428571429,0.9905,0.9788571428571429,0.011642857142857177
15,6,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
13,3,4,0.9788571428571429,0.9898214285714285,0.9788571428571429,0.010964285714285649
13,5,4,0.9788571428571429,0.9898214285714285,0.9788571428571429,0.010964285714285649
15,3,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
13,2,4,0.9788571428571429,0.9898214285714285,0.9788571428571429,0.010964285714285649
15,4,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
15,5,5,0.9788571428571429,0.9909821428571428,0.9788571428571429,0.012124999999999941
13,4,4,0.9788571428571429,0.9898214285714285,0.9788571428571429,0.010964285714285649
17,6,4,0.9787857142857143,0.9926964285714286,0.9787857142857143,0.013910714285714332
14,5,2,0.9787857142857143,0.992125,0.9787857142857143,0.013339285714285776
17,5,4,0.9787857142857143,0.9926964285714286,0.9787857142857143,0.013910714285714332
17,2,4,0.9787857142857143,0.9926964285714286,0.9787857142857143,0.013910714285714332
17,3,4,0.9787857142857143,0.9926964285714286,0.9787857142857143,0.013910714285714332
17,4,4,0.9787857142857143,0.9926964285714286,0.9787857142857143,0.013910714285714332
13,4,2,0.9787142857142858,0.9908035714285715,0.9787142857142858,0.012089285714285691
13,2,2,0.9787142857142858,0.9908035714285715,0.9787142857142858,0.012089285714285691
13,6,1,0.9787142857142858,0.9915357142857143,0.9787142857142858,0.01282142857142854
13,3,2,0.9787142857142858,0.9908035714285715,0.9787142857142858,0.012089285714285691
15,2,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,6,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,3,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,4,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
15,5,3,0.9786428571428571,0.993375,0.9786428571428571,0.01473214285714286
14,6,1,0.9785714285714285,0.9928392857142857,0.9785714285714285,0.014267857142857165
13,5,5,0.9785714285714285,0.9892142857142857,0.9785714285714285,0.010642857142857176
13,2,5,0.9785714285714285,0.9892142857142857,0.9785714285714285,0.010642857142857176
13,3,1,0.9785714285714285,0.9918928571428571,0.9785714285714285,0.013321428571428595
13,3,5,0.9785714285714285,0.9892142857142857,0.9785714285714285,0.010642857142857176
13,4,5,0.9785714285714285,0.9892142857142857,0.9785714285714285,0.010642857142857176
17,5,2,0.9785714285714285,0.9954642857142857,0.9785714285714285,0.016892857142857154
13,6,5,0.9785714285714285,0.9892142857142857,0.9785714285714285,0.010642857142857176
17,4,1,0.9785,0.9963035714285714,0.9785,0.017803571428571363
15,6,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
17,3,5,0.9785,0.9919821428571428,0.9785,0.013482142857142776
17,4,5,0.9785,0.9919821428571428,0.9785,0.013482142857142776
17,2,5,0.9785,0.9919821428571428,0.9785,0.013482142857142776
16,6,5,0.9785,0.9915714285714285,0.9785,0.013071428571428512
17,5,5,0.9785,0.9919821428571428,0.9785,0.013482142857142776
16,4,5,0.9785,0.9915714285714285,0.9785,0.013071428571428512
15,5,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
16,3,5,0.9785,0.9915714285714285,0.9785,0.013071428571428512
16,2,5,0.9785,0.9915714285714285,0.9785,0.013071428571428512
16,5,5,0.9785,0.9915714285714285,0.9785,0.013071428571428512
17,6,5,0.9785,0.9919821428571428,0.9785,0.013482142857142776
15,4,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
14,4,4,0.9785,0.9912321428571429,0.9785,0.012732142857142859
15,3,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
15,2,4,0.9785,0.9915535714285715,0.9785,0.013053571428571442
14,6,4,0.9785,0.9912321428571429,0.9785,0.012732142857142859
14,2,1,0.9785,0.9933928571428572,0.9785,0.014892857142857152
14,6,2,0.9785,0.9919821428571428,0.9785,0.013482142857142776
14,2,4,0.9785,0.9912321428571429,0.9785,0.012732142857142859
14,5,4,0.9785,0.9912321428571429,0.9785,0.012732142857142859
14,3,4,0.9785,0.9912321428571429,0.9785,0.012732142857142859
16,5,1,0.9782857142857143,0.9953214285714286,0.9782857142857143,0.017035714285714265
13,2,1,0.9782857142857143,0.9920178571428572,0.9782857142857143,0.01373214285714286
16,2,1,0.9782142857142857,0.9959107142857143,0.9782142857142857,0.017696428571428613
13,2,3,0.9782142857142857,0.9908928571428571,0.9782142857142857,0.012678571428571428
14,3,1,0.9782142857142857,0.9932678571428571,0.9782142857142857,0.015053571428571444
13,3,3,0.9782142857142857,0.9908928571428571,0.9782142857142857,0.012678571428571428
13,4,3,0.9782142857142857,0.9908928571428571,0.9782142857142857,0.012678571428571428
13,6,3,0.9782142857142857,0.9908928571428571,0.9782142857142857,0.012678571428571428
13,5,3,0.9782142857142857,0.9908928571428571,0.9782142857142857,0.012678571428571428
14,2,2,0.9781428571428571,0.9922142857142857,0.9781428571428571,0.014071428571428624
14,3,2,0.9781428571428571,0.9922142857142857,0.9781428571428571,0.014071428571428624
14,4,2,0.9781428571428571,0.9922142857142857,0.9781428571428571,0.014071428571428624
14,4,1,0.9781428571428571,0.9931607142857143,0.9781428571428571,0.015017857142857194
16,5,4,0.9780714285714286,0.9924107142857143,0.9780714285714286,0.014339285714285666
16,6,4,0.9780714285714286,0.9924107142857143,0.9780714285714286,0.014339285714285666
16,3,1,0.9780714285714286,0.9957857142857143,0.9780714285714286,0.017714285714285682
16,2,4,0.9780714285714286,0.9924107142857143,0.9780714285714286,0.014339285714285666
16,4,4,0.9780714285714286,0.9924107142857143,0.9780714285714286,0.014339285714285666
16,4,1,0.9780714285714286,0.9955535714285715,0.9780714285714286,0.01748214285714289
16,3,4,0.9780714285714286,0.9924107142857143,0.9780714285714286,0.014339285714285666
17,3,2,0.978,0.9957678571428571,0.978,0.017767857142857113
17,4,2,0.978,0.9957678571428571,0.978,0.017767857142857113
17,6,1,0.978,0.9959464285714286,0.978,0.017946428571428585
17,2,2,0.978,0.9957678571428571,0.978,0.017767857142857113
17,5,1,0.978,0.9961607142857143,0.978,0.018160714285714308
14,6,3,0.9779285714285715,0.9924464285714286,0.9779285714285715,0.014517857142857138
14,2,3,0.9779285714285715,0.9924464285714286,0.9779285714285715,0.014517857142857138
14,3,3,0.9779285714285715,0.9924464285714286,0.9779285714285715,0.014517857142857138
16,5,3,0.9779285714285715,0.9943928571428572,0.9779285714285715,0.01646428571428571
16,6,3,0.9779285714285715,0.9943928571428572,0.9779285714285715,0.01646428571428571
16,3,3,0.9779285714285715,0.9943928571428572,0.9779285714285715,0.01646428571428571
16,2,3,0.9779285714285715,0.9943928571428572,0.9779285714285715,0.01646428571428571
14,5,3,0.9779285714285715,0.9924464285714286,0.9779285714285715,0.014517857142857138
14,4,3,0.9779285714285715,0.9924464285714286,0.9779285714285715,0.014517857142857138
16,4,3,0.9779285714285715,0.9943928571428572,0.9779285714285715,0.01646428571428571
14,5,1,0.9777857142857143,0.9929821428571428,0.9777857142857143,0.015196428571428555
17,2,1,0.9777857142857143,0.9967678571428571,0.9777857142857143,0.018982142857142836
15,4,1,0.9777142857142858,0.9944464285714286,0.9777142857142858,0.016732142857142862
16,6,1,0.9777142857142858,0.9952678571428571,0.9777142857142858,0.01755357142857139
13,5,1,0.9777142857142858,0.9916607142857143,0.9777142857142858,0.013946428571428582
13,4,1,0.9776428571428571,0.9917678571428571,0.9776428571428571,0.014124999999999943
17,3,1,0.9773571428571428,0.9965892857142857,0.9773571428571428,0.01923214285714292
17,5,3,0.9767857142857143,0.9949285714285714,0.9767857142857143,0.018142857142857127
17,3,3,0.9767857142857143,0.9949285714285714,0.9767857142857143,0.018142857142857127
17,6,3,0.9767857142857143,0.9949285714285714,0.9767857142857143,0.018142857142857127
17,4,3,0.9767857142857143,0.9949285714285714,0.9767857142857143,0.018142857142857127
17,2,3,0.9767857142857143,0.9949285714285714,0.9767857142857143,0.018142857142857127
