,n_estimators,max_depth,max_leaves,learning_rate,Accuracy,Train Score,Test Score,Difference
74,300,17,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
69,300,16,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
59,300,14,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
64,300,15,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
54,300,13,5,0.05,0.9828571428571429,0.9846607142857143,0.9828571428571429,0.00180357142857146
34,200,14,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
49,200,17,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
29,200,13,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
39,200,15,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
44,200,16,5,0.05,0.9788571428571429,0.9798035714285714,0.9788571428571429,0.0009464285714285703
63,300,15,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
73,300,17,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
58,300,14,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
53,300,13,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
68,300,16,4,0.05,0.9776428571428571,0.9785714285714285,0.9776428571428571,0.0009285714285713897
38,200,15,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
28,200,13,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
43,200,16,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
33,200,14,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
48,200,17,4,0.05,0.9709285714285715,0.9722321428571429,0.9709285714285715,0.001303571428571404
52,300,13,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
57,300,14,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
62,300,15,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
72,300,17,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
67,300,16,3,0.05,0.9695714285714285,0.9709285714285715,0.9695714285714285,0.0013571428571429456
19,100,16,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
24,100,17,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
14,100,15,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
9,100,14,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
4,100,13,5,0.05,0.9649285714285715,0.9644107142857142,0.9649285714285715,-0.0005178571428572365
47,200,17,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
42,200,16,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
37,200,15,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
32,200,14,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
27,200,13,3,0.05,0.9618571428571429,0.9625,0.9618571428571429,0.0006428571428571672
23,100,17,4,0.05,0.9540714285714286,0.9530178571428571,0.9540714285714286,-0.0010535714285714315
18,100,16,4,0.05,0.9540714285714286,0.9530178571428571,0.9540714285714286,-0.0010535714285714315
3,100,13,4,0.05,0.9540714285714286,0.9530178571428571,0.9540714285714286,-0.0010535714285714315
8,100,14,4,0.05,0.9540714285714286,0.9530178571428571,0.9540714285714286,-0.0010535714285714315
13,100,15,4,0.05,0.9540714285714286,0.9530178571428571,0.9540714285714286,-0.0010535714285714315
51,300,13,2,0.05,0.9467857142857142,0.94625,0.9467857142857142,-0.000535714285714195
61,300,15,2,0.05,0.9467857142857142,0.94625,0.9467857142857142,-0.000535714285714195
66,300,16,2,0.05,0.9467857142857142,0.94625,0.9467857142857142,-0.000535714285714195
71,300,17,2,0.05,0.9467857142857142,0.94625,0.9467857142857142,-0.000535714285714195
56,300,14,2,0.05,0.9467857142857142,0.94625,0.9467857142857142,-0.000535714285714195
7,100,14,3,0.05,0.9441428571428572,0.94475,0.9441428571428572,0.0006071428571428061
22,100,17,3,0.05,0.9441428571428572,0.94475,0.9441428571428572,0.0006071428571428061
2,100,13,3,0.05,0.9441428571428572,0.94475,0.9441428571428572,0.0006071428571428061
17,100,16,3,0.05,0.9441428571428572,0.94475,0.9441428571428572,0.0006071428571428061
12,100,15,3,0.05,0.9441428571428572,0.94475,0.9441428571428572,0.0006071428571428061
26,200,13,2,0.05,0.9384285714285714,0.9383928571428571,0.9384285714285714,-3.571428571425006e-05
41,200,16,2,0.05,0.9384285714285714,0.9383928571428571,0.9384285714285714,-3.571428571425006e-05
46,200,17,2,0.05,0.9384285714285714,0.9383928571428571,0.9384285714285714,-3.571428571425006e-05
36,200,15,2,0.05,0.9384285714285714,0.9383928571428571,0.9384285714285714,-3.571428571425006e-05
31,200,14,2,0.05,0.9384285714285714,0.9383928571428571,0.9384285714285714,-3.571428571425006e-05
6,100,14,2,0.05,0.9228571428571428,0.92425,0.9228571428571428,0.0013928571428571956
11,100,15,2,0.05,0.9228571428571428,0.92425,0.9228571428571428,0.0013928571428571956
16,100,16,2,0.05,0.9228571428571428,0.92425,0.9228571428571428,0.0013928571428571956
1,100,13,2,0.05,0.9228571428571428,0.92425,0.9228571428571428,0.0013928571428571956
21,100,17,2,0.05,0.9228571428571428,0.92425,0.9228571428571428,0.0013928571428571956
15,100,16,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
25,200,13,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
35,200,15,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
30,200,14,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
70,300,17,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
5,100,14,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
40,200,16,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
45,200,17,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
55,300,14,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
65,300,16,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
10,100,15,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
20,100,17,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
50,300,13,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
60,300,15,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
0,100,13,1,0.05,0.9090714285714285,0.91,0.9090714285714285,0.0009285714285715008
